% Users Dataset
@RELATION users

@ATTRIBUTE label_nominal {easy, difficult}
@ATTRIBUTE label_numeric NUMERIC
@ATTRIBUTE num_wifi_devices NUMERIC
@ATTRIBUTE num_bluetooth_devices NUMERIC
@ATTRIBUTE accelerometer_mean_x NUMERIC
@ATTRIBUTE accelerometer_mean_y NUMERIC
@ATTRIBUTE accelerometer_mean_z NUMERIC
@ATTRIBUTE accelerometer_mean_fft_x NUMERIC
@ATTRIBUTE accelerometer_mean_fft_y NUMERIC
@ATTRIBUTE accelerometer_mean_fft_z NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_x NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_y NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_z NUMERIC
@ATTRIBUTE accelerometer_mean_intensity NUMERIC
@ATTRIBUTE accelerometer_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE accelerometer_intensity_variance NUMERIC
@ATTRIBUTE gyroscope_mean_x NUMERIC
@ATTRIBUTE gyroscope_mean_y NUMERIC
@ATTRIBUTE gyroscope_mean_z NUMERIC
@ATTRIBUTE gyroscope_mean_fft_x NUMERIC
@ATTRIBUTE gyroscope_mean_fft_y NUMERIC
@ATTRIBUTE gyroscope_mean_fft_z NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_x NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_y NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_z NUMERIC
@ATTRIBUTE gyroscope_mean_intensity NUMERIC
@ATTRIBUTE gyroscope_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE gyroscope_intensity_variance NUMERIC
@ATTRIBUTE microphone_mean NUMERIC
@ATTRIBUTE microphone_mean_crossing NUMERIC
@ATTRIBUTE microphone_mean_fft NUMERIC
@ATTRIBUTE microphone_spec_entropy NUMERIC
@ATTRIBUTE google_activity {"In Vehicle", "On Bicycle", "On Foot", Walking, Still, Tilting, Running, Unknown}
@ATTRIBUTE charging {yes, no}
@ATTRIBUTE screen_on {on, off}
@ATTRIBUTE num_of_calendar_events NUMERIC
@ATTRIBUTE hour_of_day NUMERIC

@DATA
easy,2,4,?,-0.560941297259,6.96215459516,6.80871900568,91.4428957581,94.6427617542,94.6427617542,1.22867498143,1.23272806013,1.23272806013,9.81588165244,153,0.181301851347,-0.0228079919828,0.00205573382872,0.00799401643638,0.00406481161929,0.000158870379859,0.00322393358189,0.488168618929,0.838233799104,1.34188059541,0.142574047735,14,0.0430203105545,2015,33,1485236252.0,5.14448909728,Tilting,no,?,?,17
easy,2,?,?,-1.91609178904,4.17403451081,8.54889281165,96.3602201626,93.8133738417,93.8133738417,1.37156413143,1.37175341694,1.37175341694,9.74615600491,167,0.103247013826,0.00893845250371,-0.00525654505895,-0.0131622959397,0.000273483995275,0.000306392868991,0.000306392843424,1.35966776136,1.17762814452,1.37167989626,0.142912058078,24,0.0476323740114,522,28,984114555.0,37.4997329668,Tilting,no,?,?,23
easy,1,?,?,-1.21903001894,5.81427337764,7.79386649852,92.8430201198,72.3126795892,72.3126795892,0.908221278598,1.10745789865,1.10745789865,9.89873449487,185,0.609771208924,-0.00480990053891,0.0371823608667,0.0364366760696,0.187514682803,0.129300056629,0.148944371948,0.790467558216,1.22715198167,1.3725050912,0.220991919465,167,0.00961039117956,12146,53,33577863824.0,1.38376904432,'In Vehicle',no,?,?,7
easy,2,?,?,-1.39819599005,0.692379232985,8.63375562315,84.5908792452,86.0445599724,96.8442020044,0.707237186879,0.708335312171,0.731740748557,9.74524998448,201,0.706464302722,-0.000171742086928,-0.131008960788,-0.0297902711092,0.242673367441,0.245996023593,0.522272675593,1.15880975372,0.96165241076,1.35228857424,0.335775627253,1,0.496705811297,8721,35,23566059752.0,3.92259433365,Unknown,no,?,?,16
easy,2,?,?,-0.850048347346,0.243740913439,9.75214002866,96.8229776108,96.0657926482,96.0657926482,1.36677667999,1.36727990509,1.36727990509,9.79216394633,229,0.000327457544136,0.000892770901532,-8.85777899344e-05,-0.000664333439825,4.53915381984e-06,6.80873072976e-06,1.13478845496e-06,1.37261778967,0,1.37261778967,0.00204797322635,207,7.22394544312e-07,254,65,17924832.0,3.37324952887,Still,yes,?,?,11
easy,2,?,?,-0.106304597367,0.264178973241,9.77195456716,95.2152933081,94.9642198524,95.6212811808,1.37237202322,1.37229976278,1.37223237524,9.77611800158,257,0.000678306125094,0.00018181757221,-0.000128204695186,-0.000552445703063,3.40436536488e-06,2.26957690992e-06,3.40436536488e-06,1.16628087277,0,0,0.00190901560372,148,1.76390707293e-06,432,32,72527697.0,6.28493274382,Still,yes,?,?,11
easy,2,?,?,0.181939166674,0.596315007116,9.76313610632,95.7371868466,95.596314982,95.596314982,1.36306908838,1.35907864569,1.35907864569,9.78304660656,224,0.000317084583205,0.000249563049675,0.00057538147462,-2.77292360087e-05,9.41874321743e-05,0.000504980884828,0.0027439184319,1.30658168444,1.36096131322,1.35878879267,0.00249402146879,136,2.00178392087e-05,267,62,18266255.0,2.33356442244,Still,yes,?,?,11
easy,2,?,?,-2.45053247706,5.5932358282,7.6349344318,72.8762078099,96.393908964,122.35739157,1.3413326305,1.32694902638,1.32748179578,9.83975432788,193,0.291161236808,0.00756316440379,0.00867520746587,-0.00397401021178,0.000542428807329,0.000357458379291,0.00015546601769,1.2830795575,1.32193229146,0.865428050205,0.175309386065,34,0.051086731238,10160,60,27344348795.0,2.69054573546,Tilting,no,?,?,12
easy,2,3,?,-0.865547012436,6.7045357022,7.0290601554,98.5983340469,99.8083036896,97.9695837405,1.18735854822,1.20880100745,1.19353826446,9.84442935876,129,0.18802716214,-0.00741007296547,0.00692528201357,0.0123728015609,0.0108667325701,0.00907490212277,0.00971038407129,1.2581228253,1.26143861199,1.12989330859,0.248639511214,60,0.0562048736474,508,16,1249713483.0,37.9229864869,Still,no,?,?,14
easy,2,?,?,-1.14153056025,0.246564809471,9.72347566385,96.5426127236,95.9831056004,95.9831056004,1.3595009079,1.36044785793,1.36044785793,9.79337005864,212,0.000291618377529,0.000290738124017,5.58217203057e-05,-0.000737311891266,1.13478839104e-05,5.6739422748e-06,1.02130960946e-05,1.21194719517,1.04696856998,1.37261778967,0.00172244684955,187,7.00178815359e-07,183,93,7366998.0,1.06266872071,Still,yes,?,?,11
