% Users Dataset
@RELATION users

@ATTRIBUTE label_nominal {easy, difficult}
@ATTRIBUTE label_numeric NUMERIC
@ATTRIBUTE sensing_policy {NONE, LOCATION_UPDATES, INTERVAL, ACTIVITY_UPDATES, USER_FORCED}
@ATTRIBUTE num_wifi_devices NUMERIC
@ATTRIBUTE num_bluetooth_devices NUMERIC
@ATTRIBUTE accelerometer_mean_intensity NUMERIC
@ATTRIBUTE accelerometer_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE accelerometer_intensity_variance NUMERIC
@ATTRIBUTE gyroscope_mean_intensity NUMERIC
@ATTRIBUTE gyroscope_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE gyroscope_intensity_variance NUMERIC
@ATTRIBUTE microphone_mean NUMERIC
@ATTRIBUTE microphone_mean_crossing NUMERIC
@ATTRIBUTE google_activity {"In Vehicle", "On Bicycle", "On Foot", Walking, Still, Tilting, Running, Unknown}
@ATTRIBUTE charging {yes, no}
@ATTRIBUTE screen_on {on, off}
@ATTRIBUTE num_of_calendar_events NUMERIC
@ATTRIBUTE hour_of_day NUMERIC
@ATTRIBUTE t_started_pretty STRING

@DATA
easy,2,ACTIVITY_UPDATES,35,?,10.539748529,73,19.5764991143,1.37257214689,102,0.137084904053,130,51,Still,no,?,?,12,'12:56:30 20/04/2016 '
easy,2,USER_FORCED,26,?,9.82617271871,211,0.00682042096235,0.0122214961283,250,3.2924414072e-05,190,65,Still,no,?,?,14,'14:09:17 20/04/2016 '
easy,1,USER_FORCED,62,?,10.9564230638,46,7.08036041787,2.62683501592,51,1.62390794485,419,27,Tilting,no,on,?,12,'12:17:22 21/04/2016 '
difficult,3,USER_FORCED,28,?,9.76753087672,221,0.0055243432101,0.0122946680105,240,3.38582307085e-05,41,16,Still,no,?,?,12,'12:58:03 25/04/2016 '
difficult,4,USER_FORCED,27,?,9.78904581375,218,0.00478176045532,0.0119988891583,252,2.73580899919e-05,69,16,Still,no,?,?,14,'14:21:43 25/04/2016 '
easy,1,USER_FORCED,38,?,9.82967024146,112,0.230876345344,0.336781999149,42,0.0601476263094,463,53,Tilting,no,on,?,12,'12:31:48 26/04/2016 '
easy,2,ACTIVITY_UPDATES,17,?,9.87330935163,218,0.00379495375617,0.0105576096766,208,2.164773841e-05,40,53,Still,no,?,0,9,'09:00:06 03/05/2016 '
difficult,4,ACTIVITY_UPDATES,25,?,9.82397561265,177,0.0565750838755,0.178105449578,32,0.0683174394846,32,40,Tilting,no,?,0,9,'09:31:17 03/05/2016 '
difficult,5,NONE,17,?,9.78955225576,218,0.00399262292051,0.0103601434137,212,2.277726021e-05,38,26,Still,no,?,0,11,'11:41:37 04/05/2016 '
difficult,4,NONE,18,?,9.81185576755,199,0.00416949864958,0.0111479886605,228,2.60220688444e-05,12,43,Still,no,?,0,14,'14:20:57 04/05/2016 '
